task_id,request_id,title,created_date,module,scheduled_start_time,scheduled_end_time,actual_start_time,actual_end_time,status_id,status_name,group_name,group_id,owner_Email,owner_Name,owner_id,CreatedBy_Email,CreatedBy_Name,CreatedBy_id,Priority_name,percentage_completion,Estimated_effort_days,task_type_name,Task_order,overdue,ticket_id,subject,description,site_id,site_name
1989000005227448,1989000000254125,,"{'display_value': 'Oct 29, 2024 05:35 AM', 'value': '1730160354231'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,"RE: Ranjeeta Pillay shared ""COGS Breakdown using F25 CMT"" with you",,,
1989000005227250,1989000000226310,,"{'display_value': 'Oct 29, 2024 02:48 AM', 'value': '1730150281285'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Forecast v Sales Report error,,,
1989000005227144,1989000000253239,,"{'display_value': 'Oct 28, 2024 11:56 AM', 'value': '1730096816102'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Material Class,,,
1989000005209181,1989000000232923,,"{'display_value': 'Oct 25, 2024 10:30 AM', 'value': '1729832446054'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,PRO P04 FRT Load files,,,
1989000005198597,1989000000253239,,"{'display_value': 'Oct 24, 2024 08:57 AM', 'value': '1729740457612'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,RE: ERM-172233 - 'Missing columns in Incident register database of Aria',,,
1989000005189177,1989000000255913,,"{'display_value': 'Oct 23, 2024 04:49 PM', 'value': '1729682390639'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,BI Upgrade - Azure setup,,,
1989000005165999,1989000003571167,,"{'display_value': 'Oct 21, 2024 05:24 AM', 'value': '1729468441193'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,CSL Metrics Workbook Error,,,
1989000005165186,1989000000226310,,"{'display_value': 'Oct 21, 2024 02:08 AM', 'value': '1729456680975'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Has BI updated?,,,
1989000005165098,1989000003023795,,"{'display_value': 'Oct 21, 2024 12:15 AM', 'value': '1729449929803'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Operations - ETL job failure,,,
1989000005158263,1989000000256568,,"{'display_value': 'Oct 18, 2024 04:36 AM', 'value': '1729206392374'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,AP Parked dashboard/report,,,
1989000005150267,1989000000254125,,"{'display_value': 'Oct 17, 2024 06:12 AM', 'value': '1729125744934'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,cream required based on Sales CMT vs PCM.xlsx -Add PCM to sales cost component report [BI-FY25-Unplanned],,,
1989000005124463,1989000000255550,,"{'display_value': 'Oct 14, 2024 04:16 AM', 'value': '1728859605369'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,7009 - Rolling Coverage Report,,,
1989000005082015,1989000000225913,,"{'display_value': 'Oct 8, 2024 09:38 AM', 'value': '1728360509730'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Waste KPI Dashboard,,,
1989000005076061,1989000000232939,,"{'display_value': 'Oct 8, 2024 09:01 AM', 'value': '1728358317353'}",,,,,,1989000000004937,Open,BI,1989000000279305,,,,,,,,,,,,,,RE: LX03,,,
1989000005065451,1989000000257642,,"{'display_value': 'Oct 8, 2024 05:55 AM', 'value': '1728347159445'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,RE: ERM-172233 - 'Missing columns in Incident register database of Aria',,,
1989000005045507,1989000000232939,,"{'display_value': 'Oct 4, 2024 11:07 AM', 'value': '1728020264159'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,RE: Data is not aligned,,,
1989000005037481,1989000000253281,,"{'display_value': 'Oct 3, 2024 07:40 AM', 'value': '1727921427911'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,BI Material report - missing class type (BI-FY25-Unplanned),,,
1989000005037131,1989000000226173,,"{'display_value': 'Oct 2, 2024 12:30 PM', 'value': '1727852428435'}",,,,,,1989000000004937,Open,BI,1989000000279305,,,,,,,,,,,,,,Cost Component Sales View Report,,,
1989000005028800,1989000000252979,,"{'display_value': 'Oct 2, 2024 08:08 AM', 'value': '1727836721785'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Refresh ACTUAL into RDM,,,
1989000005028151,1989000000253239,,"{'display_value': 'Oct 1, 2024 11:55 AM', 'value': '1727763932642'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,RE: Pack Size: UOM,,,
1989000005019771,1989000000253281,,"{'display_value': 'Oct 1, 2024 09:26 AM', 'value': '1727754997432'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,BI Material Master data Lite report,,,
1989000005019023,1989000000261846,,"{'display_value': 'Sep 30, 2024 07:49 AM', 'value': '1727662771028'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,FW: Sales Tracking Report Committed Forecast BI was executed at 9/26/2024 8:15:02 AM,,,
1989000005000541,1989000000232923,,"{'display_value': 'Sep 26, 2024 09:47 AM', 'value': '1727324243667'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,PRO FRT P03 Load,,,
1989000004995075,1989000000232939,,"{'display_value': 'Sep 25, 2024 10:28 AM', 'value': '1727240338143'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,-ve value for the stockvalue,,,
1989000004977905,1989000000233713,,"{'display_value': 'Sep 25, 2024 07:34 AM', 'value': '1727229844326'}",,,,,,1989000000004937,Open,BI,1989000000279305,,,,,,,,,,,,,,RE: New Measure Required in rolling Coverage Report (BI-FY26-Planned),,,
1989000004969491,1989000000253239,,"{'display_value': 'Sep 24, 2024 10:37 AM', 'value': '1727154420142'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,SSIS_ETL_ConsumerFeedback_Load Job Failled,,,
1989000004965435,1989000000272344,,"{'display_value': 'Sep 23, 2024 05:40 AM', 'value': '1727050208825'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,FW: Refresh failed: Sales and Customer Service Dashboard has failed to refresh,,,
1989000004948139,1989000000225809,,"{'display_value': 'Sep 19, 2024 06:48 AM', 'value': '1726708710119'}",,,,,,1989000000004937,Open,BI,1989000000279305,,,,,,,,,,,,,,BI Data (AR report),,,
1989000004940871,1989000000226173,,"{'display_value': 'Sep 18, 2024 12:40 PM', 'value': '1726643427727'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,RE: F26 COGs - Flow Through to RDM,,,
1989000004896803,1989000000232939,,"{'display_value': 'Sep 12, 2024 12:05 PM', 'value': '1726122903450'}",,,,,,1989000000004937,Open,BI,1989000000279305,,,,,,,,,,,,,,RE: Inbound inventory management (BI-FY26-Planned),,,
1989000004896725,1989000000232939,,"{'display_value': 'Sep 12, 2024 11:31 AM', 'value': '1726120894312'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,RE: Xplant MD04 report with incorporate open PO,,,
1989000004896289,1989000000253281,,"{'display_value': 'Sep 12, 2024 07:06 AM', 'value': '1726105015170'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Re: Wrong data - MTO field,,,
1989000004874679,1989000000226392,,"{'display_value': 'Sep 9, 2024 12:42 PM', 'value': '1725865923683'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Still having issues with BI complaint report,,,
